subject,object,original_label
Lorentz covariance,Physics,narrower
Sensory aids,Medical services,narrower
Pulp manufacturing,Manufacturing systems,narrower
Praseodymium,Chemical elements,narrower
Test facilities,Testing,narrower
Cyclones,Geoscience,narrower
Kinetic theory,Physics,narrower
Image storage,Imaging,narrower
Linear discriminant analysis,Statistics,narrower
Reactive power,Power systems,narrower
Communication effectiveness,Professional communication,narrower
Spectrogram,Signal processing,narrower
Power system modeling,Modeling,narrower
Shape measurement,Measurement,narrower
Eczema,Medical conditions,narrower
Radar equipment,Radar,narrower
Laser radar,Radar,narrower
Composite materials,Materials,narrower
Frequency locked loops,Signal processing,narrower
Amygdala,Brain,narrower
Joining processes,Materials processing,narrower
Finite element analysis,Numerical analysis,narrower
Virtual enterprises,Economics,narrower
Barium,Metals,narrower
Detection algorithms,Algorithms,narrower
Marine robots,Robots,narrower
Surface fitting,Numerical analysis,narrower
Supply and demand,Economics,narrower
Length measurement,Measurement,narrower
Recording,Signal processing,narrower
Hazardous materials,Materials,narrower
Image resolution,Image processing,narrower
Accident prevention,Industry applications,narrower
Sediments,Geoscience,narrower
Video conferencing,Communication systems,narrower
Information management,Management,narrower
Distortion,Signal processing,narrower
Electrical stimulation,Medical treatment,narrower
Lithotripsy,Medical treatment,narrower
Geophysics,Physics,narrower
Waste materials,Materials,narrower
Immunotherapy,Medical treatment,narrower
Sulfur,Chemical elements,narrower
Active circuits,Circuits,narrower
Homeostasis,Biology,narrower
Prediction algorithms,Algorithms,narrower
Quality management,Management,narrower
Dermatology,Medical specialties,narrower
Depression,Medical conditions,narrower
Viterbi algorithm,Algorithms,narrower
Petroleum industry,Industries,narrower
Mobile robots,Robots,narrower
Image coding,Image processing,narrower
Neonatology,Medical specialties,narrower
Predator prey systems,Mathematics,narrower
Neuroprostheses,Brain,narrower
Middleware,Software,narrower
Error correction,Signal processing,narrower
Beryllium,Chemical elements,narrower
Surgery,Medical treatment,narrower
Very large scale integration,Circuits,narrower
Sodium,Chemical elements,narrower
Business process management,Management,narrower
Nanobioscience,Biology,narrower
Sheet materials,Materials,narrower
Internet,Computer networks,narrower
Chirp,Signal processing,narrower
Ionizing radiation sensors,Sensors,narrower
Power system faults,Power systems,narrower
Chronic kidney disease,Medical conditions,narrower
RF signals,Signal processing,narrower
Tuberculosis,Diseases,narrower
Systems modeling,Modeling,narrower
Fibrillation,Medical treatment,narrower
Optical filters,Optical devices,narrower
Remanence,Magnetics,narrower
Attenuation measurement,Electric variables measurement,narrower
Intubation,Medical treatment,narrower
Dipole antennas,Antennas,narrower
Boron,Chemical elements,narrower
Antarctica,Geoscience,narrower
Sensitivity,Measurement,narrower
Filtering algorithms,Algorithms,narrower
Nanophotonics,Nanotechnology,narrower
Psychiatry,Medical specialties,narrower
Graphical models,Modeling,narrower
Radiation imaging,Imaging,narrower
Frequency measurement,Measurement,narrower
Computer network management,Computer networks,narrower
Ruthenium,Chemical elements,narrower
Amorphous materials,Materials,narrower
Radio communication,Communication systems,narrower
Power distribution,Power systems,narrower
Green computing,Computer applications,narrower
Batch production systems,Manufacturing systems,narrower
Conformance testing,Testing,narrower
Crystalline materials,Materials,narrower
Optical wavelength conversion,Signal processing,narrower
Transforms,Mathematics,narrower
Subscriber loops,Communication systems,narrower
Aggregates,Materials,narrower
Bistatic radar,Radar,narrower
Time measurement,Measurement,narrower
Lenses,Optical devices,narrower
Electromechanical sensors,Sensors,narrower
Comb filters,Filters,narrower
Tumors,Medical conditions,narrower
Gas industry,Industries,narrower
Nonlinear optics,Optics,narrower
Defense industry,Industries,narrower
Penetration testing,Computer security,narrower
Limit-cycles,Mathematics,narrower
Mesoporous materials,Materials,narrower
Bromine,Chemical elements,narrower
Nerve endings,Nervous system,narrower
Image segmentation,Image processing,narrower
Collimators,Optical devices,narrower
Proton therapy,Medical treatment,narrower
Projection algorithms,Algorithms,narrower
Semiconductor materials,Materials,narrower
Rare earth metals,Metals,narrower
Wideband,Communication systems,narrower
Environmental management,Industry applications,narrower
Ensemble learning,Statistics,narrower
Magnetic forces,Magnetics,narrower
Luminescent devices,Optical devices,narrower
Radar signal processing,Signal processing,narrower
Loaded antennas,Antennas,narrower
Diabetes,Medical conditions,narrower
Next generation networking,Computer networks,narrower
Radar clutter,Radar,narrower
Size measurement,Measurement,narrower
Influenza,Diseases,narrower
Thick film circuits,Circuits,narrower
Hybrid integrated circuits,Circuits,narrower
Tin,Metals,narrower
Nanostructured materials,Nanotechnology,narrower
Sleep apnea,Medical conditions,narrower
Active filters,Filters,narrower
Microwave circuits,Circuits,narrower
Radiography,Imaging,narrower
Wafer scale integration,Integrated circuits,narrower
Nervous system,Anatomy,narrower
Magnetization processes,Magnetics,narrower
Acoustic materials,Materials,narrower
Gold,Metals,narrower
Circuit analysis,Circuits,narrower
Infrared sensors,Sensors,narrower
Semiconductor device measurement,Measurement,narrower
Silicon devices,Semiconductor devices,narrower
Endocrinology,Medical specialties,narrower
Calcium,Metals,narrower
Roentgenium,Chemical elements,narrower
Hydrogen,Chemical elements,narrower
Cyberspace,Computer networks,narrower
Aquatic robots,Robots,narrower
Metamaterials,Materials,narrower
Finite element analysis,Mathematics,narrower
Sense organs,Anatomy,narrower
Thallium,Chemical elements,narrower
Brain,Nervous system,narrower
Convolution,Signal processing,narrower
Body regions,Anatomy,narrower
Low-pass filters,Filters,narrower
Image recognition,Image processing,narrower
Sensor phenomena and characterization,Sensors,narrower
Bone diseases,Diseases,narrower
Omnidirectional antennas,Antennas,narrower
Control equipment,Control systems,narrower
Wireless sensor networks,Communication systems,narrower
Supervisory control,Control systems,narrower
Medical tests,Medical services,narrower
Terahertz materials,Materials,narrower
Photonic integrated circuits,Integrated circuits,narrower
Steering systems,Mechanical products,narrower
Multistatic radar,Radar,narrower
Microeconomics,Economics,narrower
Loop antennas,Antennas,narrower
Strontium,Metals,narrower
Magnetic variables control,Control systems,narrower
Spin systems,Magnetics,narrower
Optimal control,Control systems,narrower
Laser materials processing,Materials processing,narrower
Control system synthesis,Control systems,narrower
Brightness,Optics,narrower
Brakes,Mechanical products,narrower
International trade,Economics,narrower
Quantum circuit,Circuits,narrower
Rescue robots,Robots,narrower
Embolization,Medical treatment,narrower
Pressure measurement,Measurement,narrower
Satellite ground stations,Communication systems,narrower
Optical fiber testing,Testing,narrower
Pulse circuits,Circuits,narrower
Ammeters,Electric variables measurement,narrower
Material properties,Materials,narrower
Dielectric measurement,Electric variables measurement,narrower
Geometry,Mathematics,narrower
Failure analysis,Testing,narrower
Californium,Chemical elements,narrower
Vanadium,Chemical elements,narrower
Soft sensors,Software,narrower
Piezoresistive devices,Semiconductor devices,narrower
Very high speed integrated circuits,Integrated circuits,narrower
Logic arrays,Circuits,narrower
Millimeter wave radar,Radar,narrower
Phase measurement,Measurement,narrower
Biochemistry,Biology,narrower
Fluid flow measurement,Measurement,narrower
Bridge circuits,Circuits,narrower
Trigger circuits,Circuits,narrower
Rubidium,Chemical elements,narrower
Kernel,Mathematics,narrower
Cardiology,Medical specialties,narrower
Vehicle-to-everything,Communication systems,narrower
Silver,Metals,narrower
Cruise control,Control systems,narrower
Log-periodic dipole antennas,Antennas,narrower
Indium,Metals,narrower
Multimodal sensors,Sensors,narrower
Retroreflectors,Optical devices,narrower
Microscopy,Imaging,narrower
Very large scale integration,Integrated circuits,narrower
Dielectric materials,Materials,narrower
Authentication,Computer security,narrower
Denial-of-service attack,Computer security,narrower
Aneurysm,Medical conditions,narrower
Mobile communication,Communication systems,narrower
Shear testing,Testing,narrower
Intelligent robots,Robots,narrower
Submillimeter wave integrated circuits,Integrated circuits,narrower
Substations,Power systems,narrower
Satellite antennas,Antennas,narrower
Autopilot,Control systems,narrower
Frontal lobe,Brain,narrower
Krypton,Chemical elements,narrower
Distance measurement,Measurement,narrower
Semiconductor counters,Semiconductor devices,narrower
Pharmaceuticals,Medical treatment,narrower
Gaze tracking,Hyperspectral imaging,other
Deductive databases,Mechanical power transmission,other
Vehicles,Dielectric measurement,other
Spinal cord injury,Excavation,other
Coplanar transmission lines,Edge computing,other
Requirements engineering,Commutation,other
Software reliability,Frequency shift keying,other
Atomic clocks,Loading,other
Neutron capture therapy,Continuous improvement,other
Ambient networks,Ceramic capacitors,other
File servers,Rigidity,other
Embryonic structures,Time complexity,other
Systems modeling,Radar detection,other
Food industry,Timing,other
Marine technology,Gait recognition,other
Polar codes,Anatomical structure,other
Diamagnetic materials,Trajectory planning,other
Vivaldi antennas,Encyclopedias,other
Radar,Wavelet analysis,other
Prosthetics,Garnet films,other
Mixed integer linear programming,Intelligent manufacturing systems,other
Geothermal power generation,Photonic bandgap fibers,other
Hypertension,Bioinformatics,other
Reverberation chambers,Electronic packaging thermal management,other
Self-organizing networks,Mutual information,other
Broadcasting,Superconducting films,other
Surface fitting,Radiowave propagation,other
Geothermal power generation,Python,other
Coal industry,Data communication,other
Classification algorithms,Qualifications,other
Space missions,Failure analysis,other
Fractals,Resistive RAM,other
Nanopores,Solenoids,other
Piezoresistive devices,Eyelids,other
Readout electronics,Mars,other
Solids,Brain mapping,other
Diversity methods,Microgrids,other
Ant colony optimization,Microwave FETs,other
Quantum dots,Visual impairment,other
Uncertainty,Half-duplex system,other
Plating,Calcium compounds,other
Scientific computing,National security,other
Floods,Cyclic redundancy check,other
Reverberation,MPEG 7 Standard,other
Particle accelerators,Mobile applications,other
Bulk acoustic wave devices,Gas insulation,other
X reality,ETSI Standards,other
Histopathology,Traffic congestion,other
Resonators,Collaborative intelligence,other
Remote handling,Pollution control,other
Diffusion bonding,Thin films,other
Classification algorithms,Test equipment,other
Discrete wavelet transforms,Behavioral sciences,other
Ohmic contacts,Cybercare,other
Electrolytes,Representational state transfer,other
Space radiation,Fuel processing industries,other
Terahertz radiation,Motion capture,other
Fall detection,Teleworking,other
Machine ethics,White matter,other
Plastic optical fiber,Chemical hazards,other
Active RFID tags,Weibull fading channels,other
Nonconductive adhesives,Surface fitting,other
Acoustic reflection,Head,other
Textile industry,Wavelet coefficients,other
Orthopedic procedures,Fractal antennas,other
Programmable logic arrays,Deuterium,other
Surface fitting,Message passing,other
Archeology,Electronic switching systems,other
Three-dimensional displays,Virtualization,other
Switching loss,Optical mixing,other
Process design,Weibull distribution,other
Spinal cord injury,Vocational training,other
Morphological operations,Laser fusion,other
Three-dimensional displays,Electrochemical devices,other
Boosting,Plastic integrated circuit packaging,other
Systems modeling,Subcontracting,other
Decorrelation,DC generators,other
Bulk acoustic wave devices,Scintillation counters,other
Histopathology,Temperature distribution,other
Electrochromic devices,Dynamic voltage scaling,other
Radar,Thermal lensing,other
Frequency shift keying,Cryogenic electronics,other
Impersonation attacks,Tuned circuits,other
Sonar measurements,Numerical stability,other
Platinum alloys,Multilevel systems,other
Convergence,Optical refraction,other
Impersonation attacks,International trade,other
Cobalt alloys,Superconducting transition temperature,other
Infrared sensors,Wastewater,other
Hypertension,Electrostatic actuators,other
Plating,Hydraulic systems,other
Packet switching,Sharing economy,other
Azimuth,Quantum mechanics,other
Control theory,Military communication,other
Network address translation,Peltier effect,other
Centralized control,Thin film transistors,other
Object recognition,Biofuels,other
Emissions trading,Metal foam,other
Booting,Production engineering,other
Image capture,Microwave magnetics,other
Broadcasting,Mainframes,other
Doped fiber amplifiers,Micromanipulators,other
Scientific computing,UHF circuits,other
Turnkey project,Fluctuations,other
Diffraction gratings,Neural microtechnology,other
Fast Fourier transforms,Parasitic capacitance,other
Automatic control,Additive white noise,other
Nonconductive adhesives,Stochastic resonance,other
Rail to rail inputs,Electrocardiography,other
Quantum networks,Loans and mortgages,other
Electrostatic devices,Software defined networking,other
Smart materials,Floppy disks,other
Protective clothing,Grammar,other
Mobile learning,Excitons,other
Microcell networks,Electron multipliers,other
Power system protection,Nuclear fuels,other
Frequency-domain analysis,Wearable robots,other
Fiber reinforced plastics,Overlay networks,other
Oil filled cables,Nonlinear filters,other
Radiation protection,Facial animation,other
Microwave communication,Plastics industry,other
Data preprocessing,Electron microscopy,other
Set theory,Bone diseases,other
Polarization shift keying,Impersonation attacks,other
MOS integrated circuits,Molding equipment,other
Quantum networks,Physical theory of diffraction,other
Switching loss,Fans,other
Aerospace electronics,Home computing,other
Electronic commerce,Coronaviruses,other
Spinal cord injury,Synthetic fibers,other
Flow production systems,Micromagnetics,other
Krypton,Mirrors,other
Dictionaries,Electric current control,other
Programmable logic arrays,Logic programming,other
Wireless personal area networks,Debugging,other
mHEMTs,Photoreceptors,other
Reflectometry,Gaze tracking,other
Job design,Silicon photonics,other
Smart materials,Multiskilling,other
Morphological operations,Covariance matrices,other
Electroencephalography,Admittance measurement,other
Authentication,Bragg gratings,other
Man-machine systems,Level control,other
Iterative methods,Gyrotrons,other
Radio access technologies,Impurities,other
Power system protection,Self-assembly,other
Variable speed drives,Paper making,other
Variable speed drives,Phonocardiography,other
Job design,Barium compounds,other
Atomic clocks,Foot,other
CD-ROMs,System buses,other
Electroencephalography,Optical pumping,other
Planar waveguides,Cognitive processes,other
Guns,Programming,other
Electromechanical devices,Structural shells,other
Bean model,Parameter extraction,other
Surface cleaning,Austenite,other
Spectroradiometers,Contacts,other
Piezoresistive devices,Potassium,other
Programmable logic arrays,Current,other
Electronic publishing,Clothing,other
Dictionaries,Prosthetic limbs,other
Optical modulators,PD control,other
Process design,Palladium,other
Radio transceivers,Thermoresistivity,other
Radio access networks,Heat transfer,other
Robot programming,Medical signal detection,other
Diffraction gratings,Sugar industry,other
Streaming media,Zero correlation zone,other
Marine transportation,Dimensionality reduction,other
Curriculum development,Fractal antennas,other
Atomic force microscopy,Conference management,other
Ball milling,Niobium-tin,other
Scientific computing,AC-AC converters,other
Flammability,Human factors,other
Azimuth,Tree graphs,other
Piezoelectricity,Vacuum systems,other
Spinal cord injury,Distributed parameter systems,other
Sonar measurements,Buoyancy,other
Charge measurement,Optical sensors,other
Plating,Multicore processing,other
Curriculum development,Optogenetics,other
Government policies,Wireless sensor networks,other
Consensus protocol,Thermal resistance,other
Marine technology,Liquid nitrogen,other
Microwave magnetics,Furnaces,other
Reverberation,Cosmic rays,other
Microwave circuits,Acoustic reflection,other
Atomic clocks,Neurites,other
Job design,Computational geometry,other
Discrete wavelet transforms,Digital-to-frequency converters,other
Broadcast technology,Accidents,other
Interferometry,Marine vegetation,other
Image capture,Road accidents,other
Streaming media,Inverters,other
Fractals,Support vector machine classification,other
Postal services,Esophagus,other
Wind tunnels,Program processors,other
Pyroelectric devices,Boundary value problems,other
Discrete wavelet transforms,Touch sensitive screens,other
Orthopedic procedures,Superconductive tunneling,other
Software engineering,Neuroscience,other
Automotive components,Telephony,other
Quantum dots,Electromagnetic heating,other
Automotive engineering,Computational cultural modeling,other
Thermal management,Handwriting recognition,other
Polarization shift keying,Fluid dynamics,other
Estimation,Tsunami,other
Weibull distribution,Shipbuilding industry,other
Pattern clustering,Clinical diagnosis,other
Broadcasting,Steam engines,other
Railway electrification,Ring oscillators,other
Classification tree analysis,Thermal management of electronics,other
Spinal cord injury,Intserv networks,other
Wind energy,Open source software,other
Uniaxial strain,Millennials,other
Energy harvesting,Underwater technology,other
Machine shops,Neurophysiology,other
Electric resistance,Filtration,other
Drilling,Fingerprint recognition,other
Control theory,Office automation,other
Thyratrons,Stability criteria,other
Surface cleaning,Software quality,other
Surface cleaning,UHDTV,other
Grounding,Calcium,other
Control theory,Bonding forces,other
Atmospheric waves,Filtering,other
Accelerator architectures,Isobaric processes,other
Atomic force microscopy,Switched circuits,other
Control theory,Power electronics,other
Communication system traffic control,Military robotics,other
Thyratrons,Glow discharges,other
Plastic integrated circuit packaging,Life estimation,other
Magnetic cores,Computational complexity,other
Vivaldi antennas,Ice,other
Ant colony optimization,Fluids,other
Holography,Ionization,other
Venus,Doped fiber amplifiers,other
Control theory,Static analysis,other
Agricultural robots,Embolization,other
Picture archiving and communication systems,Electrophysiology,other
Pancreas,Volume relaxation,other
Oscillators,Probes,other
Motors,Accreditation,other
Anxiety disorders,Proton radiation effects,other
Dielectric resonator antennas,Computer crime,other
Pattern clustering,Optical fiber sensors,other
Smart cards,Health information management,other
Energy informatics,Cornea,other
Plastic optical fiber,Uninterruptible power systems,other
Low-carbon economy,Steel,other
Aerospace electronics,Solvents,other
Intracranial pressure sensors,Superconducting magnetic energy storage,other
Fractals,Intelligent vehicles,other
Archeology,AI accelerators,other
Postal services,Scientific computing,other
Organic inorganic hybrid materials,Passive filters,other
Acoustic arrays,Diamond-like carbon,other
Wind energy,UHF circuits,other
Pathological processes,Voltage control,other
Cepstral analysis,Spark Plasma sintering,other
Magnetic fields,Comets,other
Fall detection,Collaborative intelligence,other
Booting,Power system protection,other
Iterative methods,Affective computing,other
Analog-digital conversion,Power steering,other
Optical modulators,MLFMA,other
Plastic optical fiber,Forging,other
Pain,Image texture,other
Silicon devices,Temperature distribution,other
Self-study courses,Near-field radiation pattern,other
Azimuth,Lung neoplasms,other
Active networking,Psychoacoustics,other
Eigenvalues and eigenfunctions,Watches,other
Weibull distribution,Multiplexing equipment,other
Rate distortion theory,Magnetic films,other
Glass products,Cladding techniques,other
Embryonic structures,Input-output programs,other
Plating,Bifurcation,other
Ion implantation,Tracking loops,other
SGML,Microwave propagation,other
Ion implantation,Sociotechnical systems,other
Coal industry,Multiprocessing systems,other
Virtual power plants,Osteoporosis,other
Machine tools,Pollution measurement,other
Rate distortion theory,Silver,other
Marine technology,Thin film circuits,other
Quantum cascade lasers,Handwriting recognition,other
Plastic integrated circuit packaging,Internet topology,other
Diffusion bonding,Bladder,other
Radio access networks,Astronomy,other
Exchange rates,Acousto-optical devices,other
Lithium-sulfur batteries,Photovoltaic cells,other
Motors,Furnaces,other
Low-carbon economy,Optimal control,other
Solid state drives,Control equipment,other
Lasers,Ferroelectric devices,other
Military computing,Trees - insulation,other
Cranes,Visual systems,other
Wireless personal area networks,Integrated circuit technology,other
Authentication,Estimation theory,other
Fiber reinforced plastics,Power system reliability,other
Anxiety disorders,Semisupervised learning,other
Three-dimensional displays,Volume measurement,other
FET integrated circuits,Multiple access interference,other
Wine industry,Stationary state,other
Consensus protocol,Image databases,other
Intracranial pressure sensors,Perineum,other
Nuclear power generation,Filter banks,other
Piezoelectricity,Autonomous driving,other
Business intelligence,Social robots,other
Transversal filters,Metallic materials,other
Foot,Terahertz radiation,other
Eigenvalues and eigenfunctions,Machine components,other
CD-ROMs,Abstract algebra,other
Radiation protection,Gallium alloys,other
Thin films,Voltage control,other
Ice surface,Concrete,other
Electrochromic devices,Microinjection,other
Quantum networks,Radiofrequency interference,other
Colored noise,Polymer foams,other
Strategic planning,Airborne radar,other
Self-organizing networks,Endomicroscopy,other
Home computing,Character generation,other
Irrigation,Utility programs,other
Lithium-sulfur batteries,Estimation,other
Loaded waveguides,Cinematography,other
Plastic optical fiber,Singular value decomposition,other
Radio access technologies,Snake robots,other
Atmospheric waves,Interpolation,other
Silicon devices,Anesthesia,other
Transport protocols,Millimeter wave devices,other
Electrochromic devices,Particle beam injection,other
Mobile learning,Representation learning,other
Fuel economy,Germanium silicon alloys,other
Business intelligence,MIMO communication,other
Hybrid learning,Boats,other
Optical modulators,Wireless LAN,other
Packet switching,Semiconductor nanotubes,other
Geothermal power generation,Object detection,other
Machine shops,Elementary particle vacuum,other
Doped fiber amplifiers,Tagging,other
Functional magnetic resonance imaging,Gender issues,other
NOMA,CMOSFETs,other
Earthquakes,Honeycomb structures,other
Classification tree analysis,Structural plates,other
Propellers,Anxiety disorders,other
Radio access networks,Alcoholic beverages,other
Glass,Information geometry,other
Transmission line measurements,Neuroradiology,other
Wind tunnels,Software development management,other
New Radio,Free electron lasers,other
Fast Fourier transforms,CMOS logic circuits,other
Plastic optical fiber,Boundary-element methods,other
Integrated circuit metallization,Phase distortion,other
Protective clothing,Semiconductor device breakdown,other
Australia,Vapor deposition,other
Ball milling,Bromine compounds,other
Acoustic reflection,Dark matter,other
Switching loss,Chebyshev approximation,other
Climate change,Optical interferometry,other
Prediction theory,Lasers,other
Fall detection,Kidney stones,other
Spreadsheet programs,Geoengineering,other
Comets,Patent law,other
Software reliability,Fuzzy reasoning,other
Holography,Disk recording,other
Microwave circuits,Continuing education,other
Business intelligence,Scanning probe data storage,other
Voting,Tungsten,other
Share prices,Formal concept analysis,other
Spinal cord injury,Wine industry,other
Hollow waveguides,Ergonomics,other
Radiofrequency safety,Radio communication countermeasures,other
Disk drives,Logic programming,other
Portfolios,Trajectory tracking,other
Fast Fourier transforms,Logic programming,other
Sonar measurements,Economic forecasting,other
Network resource management,Surface tension,other
Prosthetics,Steganography,other
Jamming,Bipolar transistor circuits,other
Booting,Blood flow,other
Histopathology,Pump lasers,other
Gaze tracking,Weaving,other
Magnetic cores,Furnaces,other
Nonlinear circuits,Least mean squares methods,other
Turnkey project,Samarium compounds,other
Embryonic structures,Computed tomography,other
Requirements engineering,Biomedical measurement,other
Electronic voting systems,Unsupervised learning,other
Digital divide,Pressure sensors,other
Weibull distribution,Washing machines,other
Digital recording,Injection-locked oscillators,other
Food industry,Serious games,other
Information and communication technology,Oil insulation,other
Electromagnetic wave absorption,Volcanic ash,other
Infrared sensors,Licenses,other
Fast Fourier transforms,Superconducting magnetic energy storage,other
Quantum networks,Axles,other
Particle accelerators,Swarm robotics,other
Magnetic variables measurement,Burnishing,other
Venus,Plastic integrated circuit packaging,other
Lean production,Particle tracking,other
X-ray telescopes,Diakoptics,other
Programmable logic arrays,Manuals,other
Variable speed drives,Carrier confinement,other
Reverberation chambers,Microphone arrays,other
Machine shops,Colon,other
Pancreas,Resists,other
Physical unclonable function,Helicopters,other
Brain cells,Service level agreements,other
Pyroelectric devices,Deep learning,other
Digital recording,Rapid prototyping,other
mHEMTs,Chatbots,other
Cranes,Demand side management,other
Irrigation,Landslides,other
Software algorithms,Cyclones,other
Bioinformatics,Message-oriented middleware,other
Particle accelerators,Neuroplasticity,other
Radiation protection,Agricultural machinery,other
Innovation management,Biochips,other
Reflectometry,Power engineering education,other
Brain injuries,Machine learning algorithms,other
Equipment failure,Atom lasers,other
Feedback loop,Hyperspectral sensors,other
X-ray telescopes,Electricity supply industry deregulation,other
Weibull distribution,Electrostatic analysis,other
Diamagnetic materials,Hydrocarbons,other
Estimation,Intelligent structures,other
Radiation protection,Biological cells,other
Azimuthal current,Electromagnetic transients,other
Dictionaries,Telephone sets,other
Scintillation counters,Piezoresistive devices,other
Electrostatic devices,Laser surgery,other
Remote handling,Skin effect,other
Transport protocols,X-ray diffraction,other
Adaptive systems,Shock absorbers,other
Functional magnetic resonance imaging,Heat engines,other
Ohmic contacts,Wireless application protocol,other
Toy industry,Open wireless architecture,other
CMOS memory circuits,Thin film transistors,other
Embryonic structures,Data visualization,other
Atomic force microscopy,Sagnac interferometers,other
Strategic planning,Calcium,other
Paper mills,Phishing,other
Broadcasting,Permittivity measurement,other
Floods,Radiofrequency integrated circuits,other
Digital recording,Runtime,other
Teleoperators,Smart meters,other
New Radio,Pressure vessels,other
Permanent magnets,Carotid arteries,other
Glass,Constraint handling,other
Electronic voting systems,Pressure effects,other
Embryonic structures,Passive radar,other
Floods,Digital intelligence,other
Iterative decoding,Germanium alloys,other
Electromechanical devices,Wavelet coefficients,other
Electric resistance,Filler metals,other
Curriculum development,Cable insulation,other
Strategic planning,Turbines,other
Share prices,Multifrequency antennas,other
Atoms,Liver diseases,other
Electronic voting systems,Ocean temperature,other
Spreadsheet programs,Construction industry,other
Planar waveguides,Quaternions,other
Visible light communication,Cognitive robotics,other
Biomedical electronics,Reverberation,other
Vehicles,Radiation effects,other
Linear circuits,Environmental management,other
Morphological operations,Organizations,other
Fiducial markers,Proton accelerators,other
Broadcast technology,Neuroplasticity,other
Hybrid learning,Electrons,other
Consensus protocol,Charge pumps,other
Azimuth,Winches,other
Terahertz radiation,Passwords,other
Machine shops,Opportunistic software systems development,other
Fiducial markers,Phosphorescence,other
Corporate acquisitions,Spatial databases,other
Visible light communication,Infrared imaging,other
Intracranial pressure sensors,Gaskets,other
Process design,Human anatomy,other
Home computing,Physical layer security,other
Prediction theory,Explosions,other
Carotid arteries,Frame relay,other
Eigenvalues and eigenfunctions,Thermostats,other
Phase transformers,Service-oriented systems engineering,other
Network resource management,Power system relaying,other
Azimuth,Foundries,other
Machine tools,Pulsed electroacoustic methods,other
Adaptive systems,Resistance heating,other
Flammability,Classification tree analysis,other
Electrolytes,Digital printing,other
Linear circuits,Microwave sensors,other
Brain cells,Rail to rail amplifiers,other
Textile industry,Linear regression,other
Wind energy,Thermoplastic polyethylene,other
Digital divide,Radio propagation,other
Electronic voting systems,Power system planning,other
Actuators,Interchannel interference,other
Thin films,Edge computing,other
Bean model,Data processing,other
Cognition,Induction heating,other
Electrolytes,Comb filters,other
Guns,not_relatedGPP Standards,other
Fractals,Professional communication,other
Continuing education,Interference suppression,other
Transversal filters,Software prototyping,other
Network resource management,Skin neoplasms,other
Pancreas,Light fields,other
Pathological processes,X-ray lithography,other
Integrated memory circuits,Neurostimulation,other
Comets,Technology transfer,other
Visible light communication,Bioterrorism,other
Electronic commerce,Collimators,other
Organic inorganic hybrid materials,Video equipment,other
Flammability,Analog integrated circuits,other
Feature extraction,Machining,other
Decorrelation,Railway electrification,other
Metaheuristics,Renewable energy sources,other
Exchange rates,Gallium arsenide,other
Nanopackaging,Application specific integrated circuits,other
Dielectric resonator antennas,Superconducting cables,other
Shingled magnetic recording,Mass spectroscopy,other
Switching loss,Gyroscopes,other
Reverberation,Communication aids,other
Iterative decoding,Wind tunnels,other
Quantum dots,Standardization,other
Earth,Digital signal processors,other
Communication equipment,Stochastic processes,other
Rate distortion theory,Brain stimulation,other
Foot,Millimeter wave measurements,other
Pathological processes,Slot lines,other
Radiation protection,Pattern classification,other
Australia,Multitasking,other
Acoustic arrays,Whole body imaging,other
Metaheuristics,Topological insulators,other
Particle accelerators,Pigmentation,other
Hypertension,Radiation effects,other
Glass industry,Voltage,other
Power system protection,Gyrotropism,other
Coal industry,Nervous system,other
Booting,Multicast VPN,other
Interferometry,Surface engineering,other
Eigenvalues and eigenfunctions,Coherence,other
Shingled magnetic recording,Electric potential,other
Radar,Central Processing Unit,other
Myelin,Sensorless control,other
Lasers,Video equipment,other
Radio transceivers,Mathematical analysis,other
Atomic beams,Green's function methods,other
Embryonic structures,Optical noise,other
Convergence,Band structures,other
Underwater acoustics,Organic inorganic hybrid materials,other
Software engineering,AC-AC converters,other
Earth,Data structures,other
Weibull distribution,Environmental engineering,other
Fiducial markers,Meter reading,other
Radiofrequency safety,Catalysis,other
Broadcast technology,Turing machines,other
Radiation detector circuits,Radiation detection circuitry,same-as
Loss measurement,Loss Evaluation,same-as
White matter,White brain matter,same-as
AC-DC power converters,AC-DC power convertors,same-as
Communication networks,Telecommunication networks,same-as
Bio-inspired computing,Bioinspired computing,same-as
Infrared sensors,IR detectors,same-as
Noise reduction,Noise suppression,same-as
Pulse measurements,Pulse analysis,same-as
Wavelet domain,Wavelet space,same-as
Feedback,Response,same-as
PD control,Proportional plus derivative control,same-as
Liquid nitrogen,Cryogenic nitrogen,same-as
Pediatrics,Paediatrics,same-as
Human computer interaction,HCI,same-as
Autonomous automobiles,Driver free automobiles,same-as
Analog circuits,Analog circuitry,same-as
Time measurement,Time gauging,same-as
Reflectometry,Reflectance Measurement,same-as
Nuclear weapons,Atomic weapons,same-as
Direction-of-arrival estimation,DOA estimation,same-as
Hybrid learning,Blended learning,same-as
Iodine,Iodine element,same-as
Computed tomography,Computerised tomography,same-as
Radar,Radio Detection and Ranging,same-as
Vehicle-to-everything,Vehicle-to-Everything Communications,same-as
Trigger circuits,Activation circuits,same-as
Client-server systems,Clientserver systems,same-as
Analog-digital integrated circuits,Analogue-digital integrated circuits,same-as
SISO communication,Single Input Single Output Communication,same-as
Spaceborne radar,Space born radar,same-as
